run_id	Step	normalized_root_mean_squared_log_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	0.00022122904840510748
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	0.00009035382807832726
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	0.00006001714035402328
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	0.000057131797569922845
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	0.00005011655653775557
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	0.00004128536159370503
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	0.000047691471287206975
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	0.00003769851224729141
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	0.0000396849380654782
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	0.000031257748893368857
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	0.00005421750468485172
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	0.000037595313854044684
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	0.00008635102793992524
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	0.00004201414048354552
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	0.0000741479328346242
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	0.000034132997918441584
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	0.00005425230063573642
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	0.000037186649323394165
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	0.0000576871619815647
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	0.00003440788263202052
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	0.00008689778374363563
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	0.00003140592497181128
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	0.000026157651993581544
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	0.00005336298157277318
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	0.000049663618623221675
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	0.00004166092890032072
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	0.00004766402019193881
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	0.00002615706920830272
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	0.000036352327488158154
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	0.000048817462771286756
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	0.00003257502817195439
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	0.00004126525716586675
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	0.0000622348374802335
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	0.000033415218009079035
