run_id	Step	mean_absolute_percentage_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	0.0839445991478475
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	0.036276259297190805
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	0.02279334576497913
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	0.02395247957855033
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	0.020090974550653083
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	0.01834330826022306
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	0.01915154809237306
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	0.01562002079611638
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	0.016756069294853466
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	0.013175440272226635
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	0.023069043040199418
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	0.015967803689021245
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	0.038193532746924594
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	0.017756145036592712
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	0.0317512179614908
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	0.011993107045467603
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	0.0218614274463078
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	0.016677151773947553
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	0.02489486567695106
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	0.014609716062404863
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	0.03194983837767187
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	0.011674868230123031
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	0.010990974405035128
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	0.023207900684316718
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	0.02265463892421618
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	0.018951038028496885
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	0.019884008395219192
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	0.010322191099307812
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	0.01532589280584729
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	0.02274440341207285
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	0.012708483400655484
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	0.018062689551925408
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	0.022030219513026934
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	0.013679265734243839
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	34	0.0335738565391069
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	35	0.021484754545463853
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	36	0.009685083221970685
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	37	0.009274630953808045
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	38	0.018011026623829106
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	39	0.016605791153502747
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	40	0.012397364506356194
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	41	0.012638896184009823
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	42	0.011466527221866566
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	43	0.009745082934619561
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	44	0.007340214367910607
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	45	0.007889389375863521
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	46	0.008644460016786124
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	47	0.01563916073379302
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	48	0.011475177525701196
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	49	0.01102280508321585
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	50	0.018555382031927185
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	51	0.015345727115416019
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	52	0.007133778518404134
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	53	0.006095132640246905
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	54	0.019588694142165908
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	55	0.01016539417489764
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	56	0.02426428441064094
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	57	0.013450553611523908
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	58	0.0384236167740764
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	59	0.02405613156528073
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	60	0.014308229318135057
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	61	0.02494350062932745
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	62	0.006048673717264827
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	63	0.018674307533336012
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	64	0.009594220035969606
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	65	0.014187850480365716
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	66	0.006073663287663135
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	67	0.024915410263753254
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	68	0.015062038729918365
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	69	0.021634616189939553
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	70	0.02336952734274593
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	71	0.024876986984384633
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	72	0.029403965123301477
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	73	0.010246060879220104
