run_id	Step	mean_absolute_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	73.00335937499999
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	31.548520833333335
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	19.822520833333336
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	20.830276041666668
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	17.471432291666666
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	15.9520625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	16.656604166666664
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	13.583588541666666
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	14.572140625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	11.458458333333333
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	20.063651041666667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	13.887
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	33.217578125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	15.44075
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	27.613578124999997
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	10.430645833333335
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	19.013328125
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	14.502005208333333
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	21.649963541666665
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	12.705234375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	27.789395833333334
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	10.153942708333332
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	9.55840625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	20.1844375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	19.700796875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	16.480385416666667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	17.292859375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	8.976619791666668
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	13.328817708333336
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	19.779744791666666
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	11.051958333333332
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	15.707244791666668
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	19.161598958333336
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	11.896260416666665
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	34	29.20036458333333
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	35	18.685744791666668
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	36	8.42265625
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	37	8.065526041666667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	38	15.664682291666669
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	39	14.440468749999999
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	40	10.781307291666666
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	41	10.991583333333335
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	42	9.971182291666668
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	43	8.474572916666668
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	44	6.38275
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	45	6.8603958333333335
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	46	7.517151041666668
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	47	13.601286458333334
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	48	9.979473958333333
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	49	9.586505208333334
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	50	16.138895833333333
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	51	13.345619791666667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	52	6.2037812500000005
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	53	5.300494791666667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	54	17.036739583333336
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	55	8.840697916666667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	56	21.103552083333334
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	57	11.697927083333335
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	58	33.418307291666665
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	59	20.922078125000002
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	60	12.444770833333333
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	61	21.694192708333336
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	62	5.260541666666667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	63	16.241041666666668
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	64	8.34409375
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	65	12.339463541666666
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	66	5.282541666666667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	67	21.669046875
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	68	13.100255208333333
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	69	18.81590104166667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	70	20.325177083333333
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	71	21.636380208333332
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	72	25.57343229166667
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	73	8.911208333333333
