run_id	Step	normalized_mean_absolute_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	0.0008449560686466278
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	0.00036514914331570197
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	0.0002294299798994587
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	0.00024109394832887726
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	0.00020221799200993837
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	0.00018463248995937454
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	0.00019278700177856995
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	0.00015721927964058223
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	0.00016866098710633225
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	0.00013262258050826206
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	0.00023222087109418707
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	0.00016073102697947893
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	0.0003844671596314773
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	0.0001787144527135731
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	0.0003196052978043728
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	0.00012072646481247854
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	0.00022006421515295316
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	0.00016784922520322382
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	0.0002505811819774148
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	0.0001470530257873355
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	0.00032164024853682723
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	0.00011752384527984505
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	0.00011063098241877799
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	0.0002336188786907256
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	0.00022802112148288752
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	0.00019074740930643486
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	0.00020015115192305468
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	0.00010389726491818964
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	0.000154270509014379
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	0.0002289348810943028
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	0.00012791766494210966
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	0.0001817989188725178
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	0.00022178033262344857
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	0.00013768979289883755
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	34	0.00033797109437995037
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	35	0.00021627269750421497
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	36	0.00009748557564323662
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	37	0.00009335207631646971
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	38	0.000181306291643036
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	39	0.00016713698943274805
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	40	0.00012478509348102024
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	41	0.0001272188721320077
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	42	0.00011540853819681554
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	43	0.00009808646994371077
