run_id	Step	normalized_root_mean_squared_error
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	0	0.0011090832408168494
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	1	0.00045266951626662006
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	2	0.00030065422521783323
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	3	0.00028617156680689135
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	4	0.0002510149597417141
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	5	0.00020677255308008832
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	6	0.00023891093548857593
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	7	0.0001887960124221992
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	8	0.00019877256067083626
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	9	0.00015656391704209585
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	10	0.0002716027400097029
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	11	0.00018831065301598793
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	12	0.00043260801692792273
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	13	0.00021041035411761513
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	14	0.0003714537349711494
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	15	0.00017097611585360317
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	16	0.00027178159009009015
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	17	0.0001862177796125515
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	18	0.0002889431107837502
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	19	0.000172294916582024
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	20	0.00043544628202405713
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	21	0.00015731497158818266
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	22	0.00013100392427316184
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	23	0.00026732302427417656
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	24	0.00024873248945826406
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	25	0.00020865143657498286
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	26	0.00023876157438520247
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	27	0.00013099412413122052
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	28	0.00018209109564436336
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	29	0.00024451381642321925
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	30	0.00016314273324818796
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	31	0.00020666552751458936
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	32	0.00031182637813931
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	33	0.000167342977551615
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	34	0.000399009857112345
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	35	0.0002603458095614776
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	36	0.00011954830072020543
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	37	0.00011618851752087512
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	38	0.00022296911389598626
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	39	0.00019236451223394703
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	40	0.00014580378602208272
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	41	0.00014658360590980463
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	42	0.0001363499024106365
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	43	0.0001240941120689935
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	44	0.00009264917917627463
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	45	0.0000957967653840401
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	46	0.00010468198982546849
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	47	0.0001811546233562156
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	48	0.0001447319064394509
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	49	0.00015089914610766294
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	50	0.0002458218605644498
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	51	0.0001800146759212351
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	52	0.00008424993021257521
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	53	0.00007348291375339922
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	54	0.00022771177230700816
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	55	0.00011687081354108949
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	56	0.0002941710688554683
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	57	0.00015956243271233447
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	58	0.00044391548054309205
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	59	0.000274058427279654
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	60	0.00017834276148144873
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	61	0.00028851679295416484
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	62	0.00008050248286269726
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	63	0.00021090397642990278
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	64	0.00011458292099101744
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	65	0.0001639979009598643
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	66	0.00007711890597333458
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	67	0.00027969651112610803
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	68	0.00018502888339024914
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	69	0.0002484491605068581
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	70	0.00027044768088986684
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	71	0.0002903565434710704
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	72	0.0003360548341946539
AutoML_b6d0762b-afc7-45ac-86d3-b3627e86c47f_HD_0	73	0.00011996983021748259
