run_id	Step	mean_absolute_error
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	0	6408.028685262045
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	1	6415.619547159831
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	2	6380.151314208984
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	3	6360.787379231771
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	4	6345.616936116537
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	5	6370.712838745118
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	6	6372.122129313151
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	7	6359.4269039713545
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	8	6353.015121663411
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	9	6344.110178507486
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	10	6351.549385620117
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	11	6340.9182418212895
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	12	6353.219916341145
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	13	6355.504341837565
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	14	6346.727901896159
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	15	6351.4391994222005
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	16	6342.767742919922
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	17	6343.251176595052
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	18	6332.389944295248
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	19	6335.464630533855
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	20	6334.050474405924
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	21	6334.565533772786
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	22	6330.371854410807
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	23	6321.918349324545
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	24	6348.549330729166
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	25	6342.901315022786
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	26	6347.18494917806
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	27	6329.092745808919
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	28	6349.694057454427
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	29	6336.795801310222
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	30	6329.040642985026
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	31	6336.287094401043
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	32	6324.149141113282
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	33	6334.015958211263
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	34	6351.866186767578
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	35	6347.710815226237
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	36	6348.970484537761
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	37	6361.097720662435
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	38	6346.402487752279
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	39	6323.615770589193
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	40	6332.52701163737
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	41	6345.384217285156
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	42	6347.393345499675
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	43	6348.617248535156
