run_id	Step	r2_score
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	0	-0.2381803786792241
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	1	-0.24822049439932092
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	2	-0.2392363023264512
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	3	-0.2344044602549075
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	4	-0.23038741590596007
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	5	-0.23710338043387952
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	6	-0.2364161318083387
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	7	-0.23253911360175264
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	8	-0.2312250178780137
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	9	-0.22680121846544005
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	10	-0.23026882976316237
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	11	-0.22653019351958403
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	12	-0.2300756444488647
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	13	-0.2310057248255221
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	14	-0.22750196109179002
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	15	-0.230782973327987
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	16	-0.22865250115681374
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	17	-0.22865471939600596
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	18	-0.2255347820087743
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	19	-0.2258564217778951
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	20	-0.22667270897818076
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	21	-0.22601589717576775
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	22	-0.2245677178492166
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	23	-0.22274839109621766
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	24	-0.2311226542665385
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	25	-0.22966141719463212
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	26	-0.2310246293110541
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	27	-0.2250590468562527
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	28	-0.23207281708543243
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	29	-0.2280043750388431
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	30	-0.22593786505822103
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	31	-0.2276459933535015
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	32	-0.22410576648513342
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	33	-0.22687208550170818
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	34	-0.23212483344986676
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	35	-0.23109652318399307
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	36	-0.23114870976566387
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	37	-0.23422717413935853
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	38	-0.23073829698714712
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	39	-0.2238697780969725
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	40	-0.22647217739710182
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	41	-0.2302592663206628
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	42	-0.23088598704315672
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	43	-0.2308300385607276
