run_id	Step	normalized_root_mean_squared_error
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	0	0.33419193115178863
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	1	0.33558029801284694
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	2	0.3343714566146051
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	3	0.3337160706569914
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	4	0.33317222377925837
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	5	0.3340790619338169
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	6	0.33398509814629684
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	7	0.3334605394461792
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	8	0.33328192906027837
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	9	0.3326792718335595
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	10	0.33315078874407156
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	11	0.3326441052815286
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	12	0.33312338439930894
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	13	0.3332487395888628
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	14	0.332774304458339
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	15	0.33322121203937327
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	16	0.3329322704478036
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	17	0.33293225838721535
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	18	0.33251060995202064
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	19	0.3325524035363959
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	20	0.3326661871675415
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	21	0.33257358788241687
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	22	0.33237965644193396
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	23	0.3321325328081141
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	24	0.33327023810616724
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	25	0.3330697971709085
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	26	0.3332556459187569
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	27	0.33244591226379083
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	28	0.33339765178830116
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	29	0.3328470811224765
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	30	0.3325671603435745
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	31	0.33279895603237
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	32	0.332319775185825
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	33	0.332692715661777
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	34	0.3334055058620822
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	35	0.3332646070392542
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	36	0.33327058390172826
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	37	0.3336905169153972
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	38	0.3332179517855073
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	39	0.33228548663397967
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	40	0.3326395950637818
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	41	0.33315190149606017
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	42	0.33323490176609555
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	43	0.3332280170793961
