run_id	Step	normalized_root_mean_squared_log_error
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	0	0.24168162434821033
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	1	0.24022370092491271
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	2	0.23973071332771773
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	3	0.23982217519484855
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	4	0.23968498616284437
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	5	0.2400242374125193
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	6	0.2400401039690873
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	7	0.23978977975021998
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	8	0.23981217013276815
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	9	0.24007127357892596
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	10	0.24002297504342093
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	11	0.2399983865488066
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	12	0.24018591219063948
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	13	0.2402177957364003
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	14	0.240060933484079
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	15	0.2400713965216426
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	16	0.23993881887664545
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	17	0.24015601914421508
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	18	0.2400051747012472
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	19	0.2401207146588841
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	20	0.23998119820592848
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	21	0.24011606348549597
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	22	0.2400831149321716
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	23	0.23998202434905913
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	24	0.2398771429731467
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	25	0.2402315585893245
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	26	0.23989233398320012
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	27	0.23990833422219643
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	28	0.2400022796462436
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	29	0.23985765114199292
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	30	0.23984068269442887
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	31	0.23985485395134795
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	32	0.23958960476242236
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	33	0.23993283099846133
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	34	0.24003406164364946
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	35	0.23998215874997797
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	36	0.23994465010703073
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	37	0.23991247367438445
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	38	0.23985692310901086
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	39	0.23978369543945535
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	40	0.23967649889864848
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	41	0.24006461598665854
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	42	0.2399889871055098
AutoML_97150f7e-85c4-4265-966a-8c35bb3b2f48_HD_1	43	0.24011312881439237
